ORDER_DATE,USER_NM,DESIGNATION,DESIGNATION_REPORT_TO,Path,METRIC_TYPE,VALUE
2025-09-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-09-01,Sales_User_2,TSI,ASM South,2,Achieved,688000
2025-09-01,Sales_User_2,TSI,ASM South,3,Incentive,34400
2025-10-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-10-01,Sales_User_2,TSI,ASM South,2,Achieved,880000
2025-10-01,Sales_User_2,TSI,ASM South,3,Incentive,70400
2025-11-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-11-01,Sales_User_2,TSI,ASM South,2,Achieved,712000
2025-11-01,Sales_User_2,TSI,ASM South,3,Incentive,35600
2025-12-01,Sales_User_2,TSI,ASM South,1,Target,800000
2025-12-01,Sales_User_2,TSI,ASM South,2,Achieved,808000
2025-12-01,Sales_User_2,TSI,ASM South,3,Incentive,64640
2024-01-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-01-01,Sales_User_3,SO,ASM South,2,Achieved,618000
2024-01-01,Sales_User_3,SO,ASM South,3,Incentive,49440
2024-02-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-02-01,Sales_User_3,SO,ASM South,2,Achieved,486000
2024-02-01,Sales_User_3,SO,ASM South,3,Incentive,24300
2024-03-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-03-01,Sales_User_3,SO,ASM South,2,Achieved,768000
2024-03-01,Sales_User_3,SO,ASM South,3,Incentive,92160
2024-04-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-04-01,Sales_User_3,SO,ASM South,2,Achieved,702000
2024-04-01,Sales_User_3,SO,ASM South,3,Incentive,56160
2024-05-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-05-01,Sales_User_3,SO,ASM South,2,Achieved,756000
2024-05-01,Sales_User_3,SO,ASM South,3,Incentive,90720
2024-06-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-06-01,Sales_User_3,SO,ASM South,2,Achieved,744000
2024-06-01,Sales_User_3,SO,ASM South,3,Incentive,89280
2024-07-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-07-01,Sales_User_3,SO,ASM South,2,Achieved,636000
2024-07-01,Sales_User_3,SO,ASM South,3,Incentive,50880
2024-08-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-08-01,Sales_User_3,SO,ASM South,2,Achieved,750000
2024-08-01,Sales_User_3,SO,ASM South,3,Incentive,90000
2024-09-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-09-01,Sales_User_3,SO,ASM South,2,Achieved,450000
2024-09-01,Sales_User_3,SO,ASM South,3,Incentive,0
2024-10-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-10-01,Sales_User_3,SO,ASM South,2,Achieved,491999
2024-10-01,Sales_User_3,SO,ASM South,3,Incentive,24599
2024-11-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-11-01,Sales_User_3,SO,ASM South,2,Achieved,438000
2024-11-01,Sales_User_3,SO,ASM South,3,Incentive,0
2024-12-01,Sales_User_3,SO,ASM South,1,Target,600000
2024-12-01,Sales_User_3,SO,ASM South,2,Achieved,540000
2024-12-01,Sales_User_3,SO,ASM South,3,Incentive,27000
2025-01-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-01-01,Sales_User_3,SO,ASM South,2,Achieved,558000
2025-01-01,Sales_User_3,SO,ASM South,3,Incentive,27900
2025-02-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-02-01,Sales_User_3,SO,ASM South,2,Achieved,516000
2025-02-01,Sales_User_3,SO,ASM South,3,Incentive,25800
2025-03-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-03-01,Sales_User_3,SO,ASM South,2,Achieved,720000
2025-03-01,Sales_User_3,SO,ASM South,3,Incentive,86400
2025-04-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-04-01,Sales_User_3,SO,ASM South,2,Achieved,546000
2025-04-01,Sales_User_3,SO,ASM South,3,Incentive,27300
2025-05-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-05-01,Sales_User_3,SO,ASM South,2,Achieved,522000
2025-05-01,Sales_User_3,SO,ASM South,3,Incentive,26100
2025-06-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-06-01,Sales_User_3,SO,ASM South,2,Achieved,618000
2025-06-01,Sales_User_3,SO,ASM South,3,Incentive,49440
2025-07-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-07-01,Sales_User_3,SO,ASM South,2,Achieved,468000
2025-07-01,Sales_User_3,SO,ASM South,3,Incentive,0
2025-08-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-08-01,Sales_User_3,SO,ASM South,2,Achieved,708000
2025-08-01,Sales_User_3,SO,ASM South,3,Incentive,56640
2025-09-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-09-01,Sales_User_3,SO,ASM South,2,Achieved,444000
2025-09-01,Sales_User_3,SO,ASM South,3,Incentive,0
2025-10-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-10-01,Sales_User_3,SO,ASM South,2,Achieved,774000
2025-10-01,Sales_User_3,SO,ASM South,3,Incentive,92880
2025-11-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-11-01,Sales_User_3,SO,ASM South,2,Achieved,696000
2025-11-01,Sales_User_3,SO,ASM South,3,Incentive,55680
2025-12-01,Sales_User_3,SO,ASM South,1,Target,600000
2025-12-01,Sales_User_3,SO,ASM South,2,Achieved,491999
2025-12-01,Sales_User_3,SO,ASM South,3,Incentive,24599
2024-01-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-01-01,Sales_User_4,SO,ASM North,2,Achieved,420000
2024-01-01,Sales_User_4,SO,ASM North,3,Incentive,0
2024-02-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-02-01,Sales_User_4,SO,ASM North,2,Achieved,714000
2024-02-01,Sales_User_4,SO,ASM North,3,Incentive,57120
2024-03-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-03-01,Sales_User_4,SO,ASM North,2,Achieved,672000
2024-03-01,Sales_User_4,SO,ASM North,3,Incentive,53760
2024-04-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-04-01,Sales_User_4,SO,ASM North,2,Achieved,683999
2024-04-01,Sales_User_4,SO,ASM North,3,Incentive,54719
2024-05-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-05-01,Sales_User_4,SO,ASM North,2,Achieved,696000
2024-05-01,Sales_User_4,SO,ASM North,3,Incentive,55680
2024-06-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-06-01,Sales_User_4,SO,ASM North,2,Achieved,444000
2024-06-01,Sales_User_4,SO,ASM North,3,Incentive,0
2024-07-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-07-01,Sales_User_4,SO,ASM North,2,Achieved,552000
2024-07-01,Sales_User_4,SO,ASM North,3,Incentive,27600
2024-08-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-08-01,Sales_User_4,SO,ASM North,2,Achieved,462000
2024-08-01,Sales_User_4,SO,ASM North,3,Incentive,0
2024-09-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-09-01,Sales_User_4,SO,ASM North,2,Achieved,732000
2024-09-01,Sales_User_4,SO,ASM North,3,Incentive,87840
2024-10-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-10-01,Sales_User_4,SO,ASM North,2,Achieved,642000
2024-10-01,Sales_User_4,SO,ASM North,3,Incentive,51360
2024-11-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-11-01,Sales_User_4,SO,ASM North,2,Achieved,540000
2024-11-01,Sales_User_4,SO,ASM North,3,Incentive,27000
2024-12-01,Sales_User_4,SO,ASM North,1,Target,600000
2024-12-01,Sales_User_4,SO,ASM North,2,Achieved,444000
2024-12-01,Sales_User_4,SO,ASM North,3,Incentive,0
2025-01-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-01-01,Sales_User_4,SO,ASM North,2,Achieved,534000
2025-01-01,Sales_User_4,SO,ASM North,3,Incentive,26700
2025-02-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-02-01,Sales_User_4,SO,ASM North,2,Achieved,540000
2025-02-01,Sales_User_4,SO,ASM North,3,Incentive,27000
2025-03-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-03-01,Sales_User_4,SO,ASM North,2,Achieved,683999
2025-03-01,Sales_User_4,SO,ASM North,3,Incentive,54719
2025-04-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-04-01,Sales_User_4,SO,ASM North,2,Achieved,648000
2025-04-01,Sales_User_4,SO,ASM North,3,Incentive,51840
2025-05-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-05-01,Sales_User_4,SO,ASM North,2,Achieved,738000
2025-05-01,Sales_User_4,SO,ASM North,3,Incentive,88560
2025-06-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-06-01,Sales_User_4,SO,ASM North,2,Achieved,588000
2025-06-01,Sales_User_4,SO,ASM North,3,Incentive,29400
2025-07-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-07-01,Sales_User_4,SO,ASM North,2,Achieved,462000
2025-07-01,Sales_User_4,SO,ASM North,3,Incentive,0
2025-08-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-08-01,Sales_User_4,SO,ASM North,2,Achieved,677999
2025-08-01,Sales_User_4,SO,ASM North,3,Incentive,54239
2025-09-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-09-01,Sales_User_4,SO,ASM North,2,Achieved,696000
2025-09-01,Sales_User_4,SO,ASM North,3,Incentive,55680
2025-10-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-10-01,Sales_User_4,SO,ASM North,2,Achieved,624000
2025-10-01,Sales_User_4,SO,ASM North,3,Incentive,49920
2025-11-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-11-01,Sales_User_4,SO,ASM North,2,Achieved,696000
2025-11-01,Sales_User_4,SO,ASM North,3,Incentive,55680
2025-12-01,Sales_User_4,SO,ASM North,1,Target,600000
2025-12-01,Sales_User_4,SO,ASM North,2,Achieved,600000
2025-12-01,Sales_User_4,SO,ASM North,3,Incentive,48000
2024-01-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-01-01,Sales_User_5,TSI,ASM North,2,Achieved,808000
2024-01-01,Sales_User_5,TSI,ASM North,3,Incentive,64640
2024-02-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-02-01,Sales_User_5,TSI,ASM North,2,Achieved,768000
2024-02-01,Sales_User_5,TSI,ASM North,3,Incentive,38400
2024-03-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-03-01,Sales_User_5,TSI,ASM North,2,Achieved,576000
2024-03-01,Sales_User_5,TSI,ASM North,3,Incentive,0
2024-04-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-04-01,Sales_User_5,TSI,ASM North,2,Achieved,608000
2024-04-01,Sales_User_5,TSI,ASM North,3,Incentive,0
2024-05-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-05-01,Sales_User_5,TSI,ASM North,2,Achieved,576000
2024-05-01,Sales_User_5,TSI,ASM North,3,Incentive,0
2024-06-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-06-01,Sales_User_5,TSI,ASM North,2,Achieved,864000
2024-06-01,Sales_User_5,TSI,ASM North,3,Incentive,69120
2024-07-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-07-01,Sales_User_5,TSI,ASM North,2,Achieved,712000
2024-07-01,Sales_User_5,TSI,ASM North,3,Incentive,35600
2024-08-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-08-01,Sales_User_5,TSI,ASM North,2,Achieved,808000
2024-08-01,Sales_User_5,TSI,ASM North,3,Incentive,64640
2024-09-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-09-01,Sales_User_5,TSI,ASM North,2,Achieved,992000
2024-09-01,Sales_User_5,TSI,ASM North,3,Incentive,119040
2024-10-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-10-01,Sales_User_5,TSI,ASM North,2,Achieved,680000
2024-10-01,Sales_User_5,TSI,ASM North,3,Incentive,34000
2024-11-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-11-01,Sales_User_5,TSI,ASM North,2,Achieved,760000
2024-11-01,Sales_User_5,TSI,ASM North,3,Incentive,38000
2024-12-01,Sales_User_5,TSI,ASM North,1,Target,800000
2024-12-01,Sales_User_5,TSI,ASM North,2,Achieved,919999
2024-12-01,Sales_User_5,TSI,ASM North,3,Incentive,73599
2025-01-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-01-01,Sales_User_5,TSI,ASM North,2,Achieved,672000
2025-01-01,Sales_User_5,TSI,ASM North,3,Incentive,33600
2025-02-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-02-01,Sales_User_5,TSI,ASM North,2,Achieved,600000
2025-02-01,Sales_User_5,TSI,ASM North,3,Incentive,0
2025-03-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-03-01,Sales_User_5,TSI,ASM North,2,Achieved,696000
2025-03-01,Sales_User_5,TSI,ASM North,3,Incentive,34800
2025-04-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-04-01,Sales_User_5,TSI,ASM North,2,Achieved,640000
2025-04-01,Sales_User_5,TSI,ASM North,3,Incentive,32000
2025-05-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-05-01,Sales_User_5,TSI,ASM North,2,Achieved,1008000
2025-05-01,Sales_User_5,TSI,ASM North,3,Incentive,120960
2025-06-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-06-01,Sales_User_5,TSI,ASM North,2,Achieved,944000
2025-06-01,Sales_User_5,TSI,ASM North,3,Incentive,75520
2025-07-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-07-01,Sales_User_5,TSI,ASM North,2,Achieved,864000
2025-07-01,Sales_User_5,TSI,ASM North,3,Incentive,69120
2025-08-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-08-01,Sales_User_5,TSI,ASM North,2,Achieved,976000
2025-08-01,Sales_User_5,TSI,ASM North,3,Incentive,117120
2025-09-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-09-01,Sales_User_5,TSI,ASM North,2,Achieved,944000
2025-09-01,Sales_User_5,TSI,ASM North,3,Incentive,75520
2025-10-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-10-01,Sales_User_5,TSI,ASM North,2,Achieved,648000
2025-10-01,Sales_User_5,TSI,ASM North,3,Incentive,32400
2025-11-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-11-01,Sales_User_5,TSI,ASM North,2,Achieved,992000
2025-11-01,Sales_User_5,TSI,ASM North,3,Incentive,119040
2025-12-01,Sales_User_5,TSI,ASM North,1,Target,800000
2025-12-01,Sales_User_5,TSI,ASM North,2,Achieved,816000
2025-12-01,Sales_User_5,TSI,ASM North,3,Incentive,65280
2024-01-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-01-01,Sales_User_6,SO,ASM North,2,Achieved,708000
2024-01-01,Sales_User_6,SO,ASM North,3,Incentive,56640
2024-02-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-02-01,Sales_User_6,SO,ASM North,2,Achieved,744000
2024-02-01,Sales_User_6,SO,ASM North,3,Incentive,89280
2024-03-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-03-01,Sales_User_6,SO,ASM North,2,Achieved,534000
2024-03-01,Sales_User_6,SO,ASM North,3,Incentive,26700
2024-04-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-04-01,Sales_User_6,SO,ASM North,2,Achieved,462000
2024-04-01,Sales_User_6,SO,ASM North,3,Incentive,0
2024-05-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-05-01,Sales_User_6,SO,ASM North,2,Achieved,504000
2024-05-01,Sales_User_6,SO,ASM North,3,Incentive,25200
2024-06-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-06-01,Sales_User_6,SO,ASM North,2,Achieved,576000
2024-06-01,Sales_User_6,SO,ASM North,3,Incentive,28800
2024-07-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-07-01,Sales_User_6,SO,ASM North,2,Achieved,714000
2024-07-01,Sales_User_6,SO,ASM North,3,Incentive,57120
2024-08-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-08-01,Sales_User_6,SO,ASM North,2,Achieved,732000
2024-08-01,Sales_User_6,SO,ASM North,3,Incentive,87840
2024-09-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-09-01,Sales_User_6,SO,ASM North,2,Achieved,420000
2024-09-01,Sales_User_6,SO,ASM North,3,Incentive,0
2024-10-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-10-01,Sales_User_6,SO,ASM North,2,Achieved,606000
2024-10-01,Sales_User_6,SO,ASM North,3,Incentive,48480
2024-11-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-11-01,Sales_User_6,SO,ASM North,2,Achieved,570000
2024-11-01,Sales_User_6,SO,ASM North,3,Incentive,28500
2024-12-01,Sales_User_6,SO,ASM North,1,Target,600000
2024-12-01,Sales_User_6,SO,ASM North,2,Achieved,498000
2024-12-01,Sales_User_6,SO,ASM North,3,Incentive,24900
2025-01-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-01-01,Sales_User_6,SO,ASM North,2,Achieved,462000
2025-01-01,Sales_User_6,SO,ASM North,3,Incentive,0
2025-02-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-02-01,Sales_User_6,SO,ASM North,2,Achieved,540000
2025-02-01,Sales_User_6,SO,ASM North,3,Incentive,27000
2025-03-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-03-01,Sales_User_6,SO,ASM North,2,Achieved,762000
2025-03-01,Sales_User_6,SO,ASM North,3,Incentive,91440
2025-04-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-04-01,Sales_User_6,SO,ASM North,2,Achieved,534000
2025-04-01,Sales_User_6,SO,ASM North,3,Incentive,26700
2025-05-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-05-01,Sales_User_6,SO,ASM North,2,Achieved,606000
2025-05-01,Sales_User_6,SO,ASM North,3,Incentive,48480
2025-06-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-06-01,Sales_User_6,SO,ASM North,2,Achieved,672000
2025-06-01,Sales_User_6,SO,ASM North,3,Incentive,53760
2025-07-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-07-01,Sales_User_6,SO,ASM North,2,Achieved,552000
2025-07-01,Sales_User_6,SO,ASM North,3,Incentive,27600
2025-08-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-08-01,Sales_User_6,SO,ASM North,2,Achieved,768000
2025-08-01,Sales_User_6,SO,ASM North,3,Incentive,92160
2025-09-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-09-01,Sales_User_6,SO,ASM North,2,Achieved,768000
2025-09-01,Sales_User_6,SO,ASM North,3,Incentive,92160
2025-10-01,Sales_User_6,SO,ASM North,1,Target,600000
2025-10-01,Sales_User_6,SO,ASM North,2,Achieved,510000
